name,age,minutes_played,goals,assist,top_speed,class
Adam Hložek,19,76,0,0,26.8,C
Ádám Szalai,33,1061,2,2,26.1,C
Aleksandar Trajkobski,29,412,0,0,29.5,C
Aleksander Sobolev,24,35,0,0,24.8,D
Aleksei Miranchuk,26,432,2,0,29.5,C
Alexander Isak,22,685,3,1,32,B
Alexis Sanchez,32,168,0,1,28.5,C
Alvaro Morata,29,891,7,0,32,B
Andre Silva,26,213,0,0,30.4,C
Andrea Belotti,27,605,4,3,30.2,B
Andreas Evald Cornelius,28,181,0,1,27.9,C
Andreas Skov Olsen,21,33,0,0,27.4,C
Andrej Kramarić,30,497,1,2,29.9,C
Andriy Yarmolenko,32,749,3,3,30.4,B
Ante Budimir,30,41,0,0,28.8,D
Ante Rebić,28,613,1,2,31.3,B
Antoine Griezmann,30,1238,4,8,30.2,A+
Artem Besedin,25,49,1,0,29.5,C
Artem Dovbyk,24,15,1,0,25.4,C
Artem Dzyuba,33,1130,10,6,30.2,A+
Ayase Ueda,23,79,5,1,30.2,B
Breel Embolo,24,860,2,2,32.8,B
Bruno Petković,27,671,4,1,27.9,B
Burak Yilmaz,36,898,1,1,31.5,C
Cengiz Under,24,374,1,0,32,B
Che Adams,25,215,0,0,31.3,C
Christian Benteke,30,111,3,0,25.4,D
Ciro Immobile,31,769,5,3,31.7,B
Cody Gakpo,22,12,0,0,33.6,B
Cristiano Ronaldo,36,1002,16,1,29.7,B
Dani Olmo,23,403,1,3,28.6,B
Daniel Avramovski,26,52,0,0,27,C
Derlis González,27,120,0,1,25.4,D
Dervisoglu,21,29,0,0,23.2,D
Diogo Jota,24,350,1,2,31.7,B
Domenico Berardi,27,365,0,2,31.5,B
Dominic Calvert-Lewin,24,18,0,0,27.4,C
Donyel Malen,22,359,1,3,31.3,B
Dries Mertens,34,746,2,4,29.9,B
Duvan Zapata,30,864,8,3,29.9,A
Eden Hazard,30,893,5,8,29.7,A
Edinson Cavani,34,214,1,0,27.1,D
Eduardo Vargas,32,628,3,2,29.8,B
Emil Forsberg ,30,979,5,2,29,B
Enner Valencia,32,241,2,0,27.4,C
Federico Santander,30,72,0,0,28.5,D
Ferran Torres ,21,366,2,1,30.8,B
Frederico Chiesa,24,835,3,3,33.1,A
Gareth Bale,32,1044,2,3,32,B
