name,country,minutes_played,goals,assist,top_speed,class
Adam Hložek,Czech Republic,76,0,0,26.8,D
Ádám Szalai,Hungary,1061,2,2,26.1,B
Akram Afif,Qatar,90,0,0,27,D
Aleksandar Trajkobski,North Macedonia,412,0,0,29.5,C
Aleksander Sobolev,Russia,35,0,0,24.8,D
Aleksei Miranchuk,Russia,432,2,0,29.5,C
Alexander Isak,Sweden,685,3,1,32,B
Alexis Sanchez,Chile,168,0,1,28.5,C
Almoez Ali,Qatar,270,2,0,28.8,C
Alvaro Morata,Spain,891,7,0,32,A
Andre Silva,Portugal,213,0,0,30.4,C
Andrea Belotti,Italy,605,4,3,30.2,B
Andreas Evald Cornelius,Denmark,181,0,1,27.9,C
Andreas Skov Olsen,Denmark,33,0,0,27.4,D
Andrej Kramarić,Croatia,497,1,2,29.9,B
Andriy Yarmolenko,Ukraine,749,3,3,30.4,A
Ante Budimir,Croatia,41,0,0,28.8,C
Ante Rebić,Croatia,613,1,2,31.3,B
Antoine Griezmann,France,1238,4,8,30.2,A+
Artem Besedin,Ukraine,49,1,0,29.5,C
Artem Dovbyk,Ukraine,15,1,0,25.4,D
Artem Dzyuba,Russia,1130,10,6,30.2,A+
Ayase Ueda,Japan,79,5,1,30.2,B
Breel Embolo,Switzerland,860,2,2,32.8,A
Bruno Petković,Croatia,671,4,1,27.9,B
Burak Yilmaz,Turkey,898,1,1,31.5,B
Cengiz Under,Turkey,374,1,0,32,B
Che Adams,Scotland ,215,0,0,31.3,C
Christian Benteke,Belgium,111,3,0,25.4,D
Ciro Immobile,Italy,769,5,3,31.7,A
Cody Gakpo,Netherlands,12,0,0,33.6,C
Cristiano Ronaldo,Portugal,1002,16,1,29.7,A+
Dani Olmo,Spain,403,1,3,28.6,B
Daniel Avramovski,North Macedonia,52,0,0,27,D
Derlis González,Paraguay,120,0,1,25.4,D
Dervisoglu,Turkey,29,0,0,23.2,D
Diogo Jota,Portugal,350,1,2,31.7,B
Domenico Berardi,Italy,365,0,2,31.5,B
Dominic Calvert-Lewin,England,18,0,0,27.4,D
Donyel Malen,Netherlands,359,1,3,31.3,B
Dries Mertens,Belgium,746,2,4,29.9,A
Duvan Zapata,Colombia,864,8,3,29.9,A
Eden Hazard,Belgium,893,5,8,29.7,A+
Edinson Cavani,Uruguay,214,1,0,27.1,C
Eduardo Vargas,Chile,628,3,2,29.8,B
Emil Forsberg ,Sweden,979,5,2,29,A
Enner Valencia,Ecuador,241,2,0,27.4,C
Federico Santander,Paraguay,72,0,0,28.5,C
Ferran Torres ,Spain,366,2,1,30.8,B
Frederico Chiesa,Italy,835,3,3,33.1,A
Gareth Bale,Wales,1044,2,3,32,A
Gerrard Moreno,Spain,513,3,6,28.1,B
Giacomo Raspadori,Italy,15,0,0,25.2,D
Goran Pandev,North Macedonia,1070,3,2,29.5,A
Haris Seferovic,Switzerland,652,4,0,32.4,B
Harry Kane,England,1316,16,5,30.8,A+
Ivan Trickovski,North Macedonia,194,0,0,27,D
Jakub Swierczok,Poland,29,0,0,26.5,D
Jeremy Doku,Belgium,165,0,0,32,C
Joao Felix,Portugal,278,0,0,30.4,C
Joel Pohjanpalo,Finland,326,2,1,28.8,C
Jonas Wind,Denmark,79,0,0,31.5,C
Josip Brekalo,Croatia,482,0,0,28.4,C
Karim Benzema,France,349,4,0,29.5,C
Karol Swiderski,Poland,163,0,0,28.1,C
Kasper Dolberg,Denmark,500,5,1,30.6,B
Kenan Karaman,Turkey,501,0,0,28.4,C
Kevin Nisbet,Scotland ,21,0,0,25,D
Kevin Volland,Germany,10,0,0,29.2,C
Kieffer Moore,Wales,644,3,1,32.21,B
Kingsley Coman,France,560,3,0,33.71,B
Kylian Mbappé,France,840,3,4,32.21,A
Lassi Lappalainen,Finland,272,0,1,32.21,B
Lautaro Martinez,Argentina,795,6,1,31.2,A
Leandro Trossard,Belgium,75,0,0,28.6,C
Lionel Messi,Argentina,630,10,5,30.9,A
Lorenzo Insigne,Italy,512,5,1,30.8,B
Luis Suarez,Uruguay,813,7,1,29.1,B
Luuk De Jong,Netherlands,153,1,0,26.8,D
Lyndon Dykes,Scotland ,431,0,0,29.9,C
Marcelo Moreno Martins,Bolivia,258,3,1,24.8,C
Marcus Berg,Sweden,865,2,3,28.6,B
Marcus Forss,Finland,7,0,0,27.7,D
Marcus Rashford,England,393,3,0,33.5,B
Marcus Thuram,France,9,0,0,23.8,D
Mario Gavranovic ,Switzerland,247,2,0,26.3,C
Marko Arnautović,Austria,217,7,2,31.5,B
Martin Braithwaite,Denmark,1086,4,0,31.5,A
Matěj Vydra,Czech Republic,80,0,0,29,C
Memphis Depay,Netherlands,822,8,10,30.8,A+
Michael Gregoritsch,Austria,312,2,1,28.8,C
Michael Krmenčík,Czech Republic,156,0,0,27,D
Michal Duris,Slovakia,195,1,0,27.2,C
Michy Batshuayi,Belgium,393,4,1,27,C
Mikkel Damsgaard,Denmark,330,2,1,31.5,B
Milan Ristovski,North Macedonia,4,0,0,25.7,D
Mislav Oršić,Croatia,66,1,1,29,C
Nemanja Nikolić,Hungary,115,1,0,29,C
Olivier Giroud,France,737,6,0,28.8,B
Ousmane Dembélé,France,32,0,0,28.1,D
Pablo Sarabia,Spain,378,3,2,27.4,C
Paolo Guerrero,Peru,219,1,0,28.5,C
Patrik Schick,Czech Republic,867,9,1,32.4,A
Paulo Dybala,Argentina,666,3,3,30.3,B
Quincy Promes,Netherlands,515,0,2,31,B
Radamel Falcao,Colombia,334,5,0,28.1,C
Rafa Silva,Portugal,197,0,3,32.8,B
Raheem Sterling,England,1215,11,8,33.1,A+
Robert Lewandowski,Poland,1107,9,2,31.3,A
Roberto Firmino,Brazil,369,4,1,31.5,B
Roland Sallai,Hungary,761,0,2,29.2,B
Roman Yaremchuk,Ukraine,917,6,2,30.8,A
Romelu Lukaku,Belgium,849,11,4,31.3,A+
Ryan Christie,Scotland ,530,2,2,27.9,B
Salomón Rondón,Venezuela,460,0,0,29.5,C
Sasa Kalajdzic,Austria,112,1,0,27.2,C
Serge Gnabry,Germany,842,8,1,30.8,A
Sergio Agüero,Argentina,151,1,0,30.2,C
Shinji Okazaki,Japan,156,0,0,27.2,D
Steven Berghuis,Netherlands,146,0,0,29.5,C
Szabolcs Schön,Hungary,28,0,0,27.4,D
Takefusa Kubo,Japan,416,0,0,29.8,C
Teemu Pukki,Finland,1122,10,1,33.3,A+
